"agreement_label","agreement_confidence","comment_id","topic","error"
"Agree",0.88,"racial_comment_151160","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_151266","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_151162","Population Growth and Economic Implications",NA
"Agree",0.88,"racial_comment_151321","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_151448","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_151320","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_151412","Population Growth and Economic Implications",NA
"Neither/Unclear",0.6,"racial_comment_151450","Population Growth and Economic Implications",NA
"Agree",0.85,"racial_comment_151449","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_151269","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_151458","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_151584","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_151581","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.65,"racial_comment_151514","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_151513","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_151672","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_151586","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_151674","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_151570","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_151595","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_151585","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_151715","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_151515","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_151762","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_151714","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_151763","Population Growth and Economic Implications",NA
"Disagree",0.95,"racial_comment_151716","Diversity and Immigration in North America",NA
"Agree",0.95,"racial_comment_151999","Population Growth and Economic Implications",NA
"Disagree",0.88,"racial_comment_152059","Diversity and Immigration in North America",NA
"Agree",0.95,"racial_comment_152011","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_152034","Pandemics Impact on Racial Ethnic Health Disparities",NA
"Disagree",0.85,"racial_comment_152120","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_151717","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_152175","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_151901","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_152061","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_152192","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_152242","Population Growth and Economic Implications",NA
"Agree",0.85,"racial_comment_152196","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_152060","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_152195","Population Growth and Economic Implications",NA
"Disagree",0.95,"racial_comment_152194","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_152316","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_152314","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_152312","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_152315","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_152401","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_152369","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_152467","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_152368","Population Growth and Economic Implications",NA
"Neither/Unclear",0.6,"racial_comment_152283","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_152377","Diversity and Immigration in North America",NA
"Disagree",0.88,"racial_comment_152598","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_152402","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_152494","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_152684","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_152323","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_152580","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_152723","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_152675","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_152685","Population Growth and Economic Implications",NA
"Disagree",0.95,"racial_comment_152700","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_152935","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_152953","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_152507","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_152904","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_152817","Asian Population Dynamics and Implications",NA
"Agree",0.88,"racial_comment_152783","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_153039","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_152784","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_153063","Affordable Housing and Demographic Shifts",NA
"Disagree",0.95,"racial_comment_152973","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_153180","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_153182","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_153108","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_153121","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_153285","Electoral Impact of Urban Demographic Shifts",NA
"Agree",0.88,"racial_comment_153276","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_153324","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_153038","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_153323","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_153275","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_153339","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_153232","Population Growth and Economic Implications",NA
"Disagree",0.95,"racial_comment_153331","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_153342","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_153343","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_153335","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_153207","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_153344","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_153392","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_153424","Population Growth and Economic Implications",NA
"Agree",0.92,"racial_comment_153393","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_153421","Population Growth and Economic Implications",NA
"Neither/Unclear",0.6,"racial_comment_153468","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_153408","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_153431","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_153472","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_153444","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_153587","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_153588","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_153469","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_153591","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_153589","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_153727","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_153630","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_153593","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_153702","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_153725","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_153663","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_153748","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_153733","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_153728","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_153802","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_153842","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_153819","Asian Population Dynamics and Implications",NA
"Neither/Unclear",0.55,"racial_comment_153768","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_154006","Diversity and Immigration in North America",NA
"Disagree",0.88,"racial_comment_153915","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_153916","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_154002","Political Polarization in Immigration Policies",NA
"Agree",0.88,"racial_comment_154007","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_153932","Diversity and Immigration in North America",NA
"Disagree",0.88,"racial_comment_154020","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_153986","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.65,"racial_comment_153999","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_154039","Population Growth and Economic Implications",NA
"Neither/Unclear",0.6,"racial_comment_154008","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_154145","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_154150","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_154052","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_154213","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_154228","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_154151","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_154231","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_154230","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_154229","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_154266","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_154232","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_154305","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_154390","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_154181","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_154328","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_154387","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_154498","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_154448","Diversity and Immigration in North America",NA
"Neither/Unclear",0.7,"racial_comment_154115","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_154464","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_154678","Affordable Housing and Demographic Shifts",NA
"Mixed/Ambiguous",0.7,"racial_comment_154418","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_154513","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_154679","Affordable Housing and Demographic Shifts",NA
"Neither/Unclear",0.6,"racial_comment_154724","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_154687","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_154742","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_154741","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_154839","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.78,"racial_comment_154677","Affordable Housing and Demographic Shifts",NA
"Mixed/Ambiguous",0.78,"racial_comment_154803","Population Growth and Economic Implications",NA
"Neither/Unclear",0.6,"racial_comment_154864","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_154856","Population Growth and Economic Implications",NA
"Agree",0.95,"racial_comment_154855","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.78,"racial_comment_154886","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_154743","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_154888","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_154887","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_154889","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_154890","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_155000","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_154993","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_154983","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_155022","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_154908","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_155097","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_154985","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_155023","Population Growth and Economic Implications",NA
"Neither/Unclear",0.6,"racial_comment_155211","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_154910","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_155153","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_155096","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_155169","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_155299","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_155408","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_155703","Population Growth and Economic Implications",NA
"Agree",0.92,"racial_comment_155472","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_155329","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_155482","Diversity and Immigration in North America",NA
"Neither/Unclear",0.5,"racial_comment_155559","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.65,"racial_comment_155274","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_155560","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_155730","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.65,"racial_comment_155717","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_155714","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_155731","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_155849","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.78,"racial_comment_155775","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.65,"racial_comment_155951","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_155856","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.78,"racial_comment_155774","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_156015","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_156123","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_156241","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_156316","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_156391","Population Growth and Economic Implications",NA
"Agree",0.88,"racial_comment_156497","Diversity and Immigration in North America",NA
"Agree",0.95,"racial_comment_156392","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_156499","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_156510","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_156553","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_156551","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_156496","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_156552","Diversity and Immigration in North America",NA
"Agree",0.9,"racial_comment_155998","Diversity and Immigration in North America",NA
"Neither/Unclear",0.7,"racial_comment_156626","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_156749","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_156272","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_156513","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_156650","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_156764","Diversity and Immigration in North America",NA
"Disagree",0.9,"racial_comment_156683","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_156684","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_156766","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_156770","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_156969","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_156985","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_156919","Population Growth and Economic Implications",NA
"Neither/Unclear",0.6,"racial_comment_156835","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_157018","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_157019","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_157020","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.65,"racial_comment_156890","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.65,"racial_comment_157025","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_157089","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_157124","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_157067","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_157066","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_157219","Population Growth and Economic Implications",NA
"Agree",0.92,"racial_comment_157039","Population Growth and Economic Implications",NA
"Agree",0.88,"racial_comment_157311","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_157133","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_157026","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_157283","Diversity and Immigration in North America",NA
"Disagree",0.88,"racial_comment_157359","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_157040","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_157292","Population Growth and Economic Implications",NA
"Disagree",0.95,"racial_comment_157373","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.65,"racial_comment_157371","Population Growth and Economic Implications",NA
"Agree",0.92,"racial_comment_157481","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_157396","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.78,"racial_comment_157382","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_157430","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_157478","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_157506","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_157702","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_157854","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_157529","Diversity and Immigration in North America",NA
"Neither/Unclear",0.55,"racial_comment_157704","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_157530","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_157537","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_157508","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_157729","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_157535","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_157909","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_157703","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_157907","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_158032","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_157908","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_158025","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_158009","Electoral Impact of Urban Demographic Shifts",NA
"Agree",0.88,"racial_comment_158193","Population Growth and Economic Implications",NA
"Neither/Unclear",0.6,"racial_comment_158145","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_158144","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_158275","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_158203","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_158177","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_158205","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_158289","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_158316","Population Growth and Economic Implications",NA
"Agree",0.85,"racial_comment_158276","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.65,"racial_comment_158317","Population Growth and Economic Implications",NA
"Agree",0.88,"racial_comment_158327","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_158299","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_158290","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_158353","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_158351","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_158360","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_158370","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_158580","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_158434","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_158386","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_158433","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_158578","Population Growth and Economic Implications",NA
"Neither/Unclear",0.7,"racial_comment_158779","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_158595","Political Polarization in Immigration Policies",NA
"Mixed/Ambiguous",0.7,"racial_comment_158656","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_158431","Diversity and Immigration in North America",NA
"Neither/Unclear",0.7,"racial_comment_158780","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_158821","Population Growth and Economic Implications",NA
"Agree",0.88,"racial_comment_158777","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_158827","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_158792","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_158927","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_158958","Diversity and Immigration in North America",NA
"Disagree",0.88,"racial_comment_158989","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_158930","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_158928","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_159042","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_159060","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_158907","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.65,"racial_comment_158990","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_158908","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_159062","Diversity and Immigration in North America",NA
"Disagree",0.88,"racial_comment_159094","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_159059","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_159061","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_159095","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_159304","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_159318","Population Growth and Economic Implications",NA
"Neither/Unclear",0.6,"racial_comment_159161","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_159140","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_159118","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_159386","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_159358","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_159319","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.78,"racial_comment_159321","Population Growth and Economic Implications",NA
"Disagree",0.95,"racial_comment_159470","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_159415","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_159367","Diversity and Immigration in North America",NA
"Neither/Unclear",0.2,"racial_comment_158929","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_159413","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_159611","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_159582","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_159660","Asian Population Dynamics and Implications",NA
"Agree",0.85,"racial_comment_159661","Asian Population Dynamics and Implications",NA
"Disagree",0.85,"racial_comment_159610","Population Growth and Economic Implications",NA
"Agree",0.92,"racial_comment_159613","Population Growth and Economic Implications",NA
"Neither/Unclear",0.55,"racial_comment_159376","Population Growth and Economic Implications",NA
"Agree",0.85,"racial_comment_159714","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_159717","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_159774","Diversity and Immigration in North America",NA
"Disagree",0.88,"racial_comment_159773","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_159779","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_159812","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_159785","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_159811","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_159813","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_159878","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.78,"racial_comment_159820","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_159876","Population Growth and Economic Implications",NA
"Neither/Unclear",0.6,"racial_comment_159877","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_159910","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_159888","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_159875","Population Growth and Economic Implications",NA
"Disagree",0.95,"racial_comment_159960","Diversity and Immigration in North America",NA
"Disagree",0.88,"racial_comment_159924","Population Growth and Economic Implications",NA
"Agree",0.9,"racial_comment_159968","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_159996","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_160123","Diversity and Immigration in North America",NA
"Neither/Unclear",0.55,"racial_comment_160153","Diversity and Immigration in North America",NA
"Neither/Unclear",0.65,"racial_comment_160155","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_160122","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_160124","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_160154","Diversity and Immigration in North America",NA
"Disagree",0.88,"racial_comment_160334","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_160442","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_160291","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_160485","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_160198","Diversity and Immigration in North America",NA
"Neither/Unclear",0.5,"racial_comment_160269","Diversity and Immigration in North America",NA
